name,price,old_price,discount
"Elitebook 8460p, Core i5, 14.1, 8GB RAM 500GB  -Silver - Refurbished","UGX 439,000","UGX 760,000",42%
"Lenovo Thinkpad  X270 i7 7th Gen 8GB RAM, 256GB SSD, 12.5 inch Renewed (6 MONTHS WARRANTY)","UGX 750,000","UGX 1,200,000",38%
"Nec VersaPro Laptop , Intel Core i5 8th Generation,8GB RAM,128GB SSD,12.5"" Windows 11 Pro-Black,Refurished","UGX 595,000","UGX 1,090,000",45%
"Refurbished Lenovo ThinkPad Yoga ""Touch Screen,Intel Celeron / Pentium ,128GB SSD, 4GB RAM- Black","UGX 399,000","UGX 800,000",50%
"Refurbished Elitebook 840  Core i5 12GB RAM, 500GB HDD,Windows 11 Pro- Black 6 MONTHS WARRANTY","UGX 599,000","UGX 1,089,995",45%
"Refurbished Touch screen, X360 11.6 inch,4GB RAM, 128GB SSD,Intel Celeron/Pentium,- Black","UGX 399,000","UGX 699,000",43%
"DELL  Latitude 3310 Intel Duo Core 4GB RAM 128GB SSD,13-inch ,Win 10-3 Months Warranty,Renewed- Grey/Black","UGX 449,000","UGX 670,000",33%
"Hp Elitebook 840 G5 14"" Core I5 , 8GB DDR4 Ram, 256GB SSD,Windows 11,Renewed – Silver","UGX 1,090,000","UGX 1,699,000",36%
"Elitebook 820 g2, 12.5-inch, Core I5, 8GB RAM, 500GB HDD – Black(Refurbished)  Grade A","UGX 549,000","UGX 1,250,000",56%
"Refurbished DELL Latitude 3189/3190 X360 Convertible 2 -n-1 4GB 128GB SSD Touchscreen Laptop 11.6""-Grey (Grade A)","UGX 499,000","UGX 900,000",45%
"Refurbished Elitebook 840 G5: 14 Inch, intel i5, 8GB RAM, 256GB SSD - Silver","UGX 990,000","UGX 2,100,000",53%
"Travelmate,Intel Celeron.4GB RAM 64GB SSD, 12Inches - Black-Refurbished","UGX 329,000","UGX 670,000",51%
"Hp Stream Pro G4/G5  11'6  Inch Mini Laptop, Celeron, 4GB Ram 64GB SSD – Grey- Renewed","UGX 329,000","UGX 590,000",44%
"Hp Elite Book 840 G2, Intel Core i5,8GB Ram, 500GB Hdd - Silver & Black","UGX 599,000","UGX 1,390,001",57%
"RENEWED Elite X2 1012 G2 Core i7, 7th Gen Touch Screen Detachable,2-IN-1 Laptop, 8GB RAM,256GB SSD, -Grey (6MTHS WRTY)","UGX 1,850,000","UGX 2,300,000",20%
Elitebook 640 i7 8GB RAM 256GB SSD Storage – Black,"UGX 599,000","UGX 1,100,000",46%
Touchmate Touch mate Intel Celeron N4000 8GB RAM And 256GB SSD Brand New -Black with  Afree Bag ,"UGX 855,000","UGX 1,500,000",43%
Refurb EliteBook 840 Corei5 16GB RAM1TB HDD Free Anti Theft Bag- Black 6MsWRTY,"UGX 880,000","UGX 1,600,000",45%
"REFURBISHED MacBook Pro 13” 2019 – Intel Core i7, 16GB RAM, 256GB SSD, Touch Bar","UGX 1,460,000","UGX 1,500,000",3%
